Key                      Count

but                          1
a                            1
honestly                     1
maybe                        1
bigger                       1
interesting                  1
this                         2
i                            1
is                           2
program                      1
better                       2
stale                        1
should                       1
make                         1
little                       1
who                          1
knows                        1
